"X","id","priceLabel","name","brandId","brandName","imageLink","desc","vendor","striped","material"
10,463662536,79.5,"Scottish wool tie in vintage pine tartan",284,"J.Crew","http://bim.shopstyle.com/pim/55/b5/55b59cd018249f0c117f72367ed9ea5b_best.jpg","Sometimes you want to wear a tie even when you don't have to. This one is made from Scottish wool with a classic tartan pattern. Seeing how tartans originated in Scotland, we can say that this is as traditional as it get <ul> <li>2 1/2"" at widest point.</li> <li>Scottish wool.</li> <li>Made in the United Kingdom.</li> </ul>","J.Crew","unknown","_wool"
15,381436886,59.5,"Cotton tie in buffalo check",284,"J.Crew","http://bim.shopstyle.com/pim/3a/b5/3ab5609e684bfaf7e4bc671da89bf8ce_best.jpg","If you have to wear a tie, wear a good one. Like this one made in a tried-and-true buffalo check. <ul> <li>2 1/2"" at widest point.</li> <li>Cotton.</li> <li>USA.</li> </ul>","J.Crew","unknown","unknown"
49,215095525,65,"English silk tie in mercury grey stripe",284,"J.Crew","http://bim.shopstyle.com/pim/38/10/38101601a24abc150874838f0e92b56f_best.jpg","Sometimes you want to wear a tie even when you don't have to. This one is made from English silk and sports a classic stripe (there's a reason stripes never go out of style). Fun fact: It's hand-finished in NYC's Long Island City. <ul> <li>2 1/2"" at widest point.</li> <li>English silk.</li> <li>USA.</li> </ul>","J.Crew","_striped","_silk"
50,296146625,72.5,"Extra-long Italian wool tie in medium grey",284,"J.Crew","http://bim.shopstyle.com/pim/5d/ee/5dee69e53c0c927c23644b752e5655b8_best.jpg","Sometimes you want to wear a tie even when you don't have to. This one is made from Italian wool (it's the same wool we use in our men's suiting collection) and instantly elevates just about anything else you're wearing. Fun fact: It's hand-finished in NYC's Long Island City. <ul> <li>2 1/2"" at widest point.</li> <li>For the taller guy, this tie is 62"" long—that's 5"" longer than our standard ties.</li> <li>Italian wool.</li> <li>USA.</li> <li>Online only.</li> </ul>","J.Crew","unknown","_wool"
63,170153664,55,"English silk bow tie in pindot",284,"J.Crew","http://bim.shopstyle.com/pim/30/47/30471a7b5e938a148b0ab96aa19cd6da_best.jpg","A bow tie is a classic way to set yourself apart from the crowd. Plus, it won't dangle in your soup. This one made from English silk sports a classic dot (aka the outlandish print for super-conservative guys). <ul> <li>2 1/8"" at widest point.</li> <li>English silk.</li> <li>USA.</li> </ul>","J.Crew","_print","_silk"
64,207904900,69.5,"Italian wool tie in medium grey",284,"J.Crew","http://bim.shopstyle.com/pim/5d/ee/5dee69e53c0c927c23644b752e5655b8_best.jpg","Sometimes you want to wear a tie even when you don't have to. This one is made from Italian wool (it's the same wool we use in our men's suiting collection) and instantly elevates just about anything else you're wearing. Fun fact: It's hand-finished in NYC's Long Island City. <ul> <li>2 1/2"" at widest point.</li> <li>Italian wool.</li> <li>USA.</li> </ul>","J.Crew","unknown","_wool"
83,463662963,75,"English textured silk tie in moss grey dots",284,"J.Crew","http://bim.shopstyle.com/pim/25/5c/255c19e5602ed112d5ff9fb829cabf76_best.jpg","Sometimes you want to wear a tie even when you don't have to. This one is made from textured English silk with a classic dot pattern-because it's so subtle, it looks handsome with just about everything. <ul> <li>2 1/2"" at widest point.</li> <li>English silk.</li> <li>USA.</li> </ul>","J.Crew","unknown","_silk"
109,410931116,55,"Italian satin point bow tie in black",284,"J.Crew","http://bim.shopstyle.com/pim/07/ee/07eed4d8a409ff6e3b27f0ebe5ce4f74_best.jpg","A bow tie is a classic way to set yourself apart from the crowd. Plus, it won't dangle in your soup. This one is made from an Italian satin we found at a mill that's been producing bespoke fabrics for over nine generation <ul> <li>2 1/8"" at widest point.</li> <li>Silk satin.</li> <li>USA.</li> </ul>","J.Crew","unknown","unknown"
110,329789809,55,"Chambray bow tie",284,"J.Crew","http://bim.shopstyle.com/pim/40/f8/40f8b31e7b02429691e3652085fac558_best.jpg","<ul> <li>Cotton.</li> </ul>","J.Crew","unknown","unknown"
111,459411516,69.5,"English wool tie in plum stripe",284,"J.Crew","http://bim.shopstyle.com/pim/36/81/3681f03ecbd2d6e1a25b77751e2e887f_best.jpg","Sometimes you want to wear a tie even when you don't have to. This one is made from English wool with a classic stripe (there's a reason stripes never go out of style). Fun fact: It's hand-finished in NYC's Long Island City. <ul> <li>2 1/2"" at widest point.</li> <li>English wool/silk.</li> <li>USA.</li> </ul>","J.Crew","_striped","_wool"
