"X","id","priceLabel","name","brandId","brandName","imageLink","desc","vendor","striped","material"
7,461954865,95,"Hermès Tie",1274,"Hermes","http://bim.shopstyle.com/pim/5e/df/5edf8d8364e1ef76241abaa6014a7980_best.jpg","Men's dark pink, tan and multicolor Hermès silk necktie with frog and cow motif.","TheRealReal","unknown","_silk"
11,444127318,124.19,"Hermès Vintage patterned tie",1274,"Hermes","http://bim.shopstyle.com/pim/27/4f/274f52c15e9f0bc70969449c73f32296_best.jpg","Red and blue silk patterned tie from Hermès Vintage featuring a pointed tip and a printed logo. This item is true to fit.","farfetch.com","_print","_silk"
13,461954705,95,"Hermès Tie",1274,"Hermes","http://bim.shopstyle.com/pim/ab/a6/aba6e451505bc4968f3333ce702e03a0_best.jpg","Men's blue Hermès silk printed necktie.","TheRealReal","_print","_silk"
17,461789522,95,"Hermès Tie",1274,"Hermes","http://bim.shopstyle.com/pim/05/b7/05b7cfddb75fceed72686700ee4b702f_best.jpg","Men's blue and multicolor Hermès woven printed silk tie with flower and bird design throughout.","TheRealReal","_print","_silk"
21,462481352,75,"Hermès Tie",1274,"Hermes","http://bim.shopstyle.com/pim/e6/44/e644ebdd2f42a536e2461f72d4bd0e3c_best.jpg","Men's light blue, grey and ice blue Hermès silk necktie with chain motif.","TheRealReal","unknown","_silk"
22,464131459,95,"Hermès Tie",1274,"Hermes","http://bim.shopstyle.com/pim/35/f2/35f2f2c72c6c1718ea251ed60e6aab2e_best.jpg","Men's green, plum and brown Hermès silk tie with rabbit motif.","TheRealReal","unknown","_silk"
29,461789622,95,"Hermès Tie",1274,"Hermes","http://bim.shopstyle.com/pim/c6/9e/c69eee154a07f032c3bcc33b44c8f085_best.jpg","Men's red and multicolor Hermès silk printed tie with logo at end.","TheRealReal","_print","_silk"
38,462309825,105.01,"Hermès Vintage logo print tie",1274,"Hermes","http://bim.shopstyle.com/pim/02/9f/029f9cee5fda030144af5b4aa07a1012_best.jpg","Black and white silk logo print tie from Hermès Vintage circa 1990 featuring a pointed tip and a logo tag at the rear. Please note that vintage items are not new and therefore might have minor imperfections.","farfetch.com","_print","_silk"
40,461789609,95,"Hermès Tie",1274,"Hermes","http://bim.shopstyle.com/pim/41/ec/41ec2b1cc78f16fe0a09b400b4ca0499_best.jpg","Men's red and multicolor Hermès silk tie with paisley print.","TheRealReal","_print","_silk"
41,461793076,95,"Hermès Tie",1274,"Hermes","http://bim.shopstyle.com/pim/40/b7/40b7531eba0c548219cfe954e452b3a2_best.jpg","Men's steel blue, aqua and multicolor Hermès silk necktie with fish motif.","TheRealReal","unknown","_silk"
53,461789733,75,"Hermès Tie",1274,"Hermes","http://bim.shopstyle.com/pim/74/b2/74b27cb34e3311be86ff76fe60d90c4a_best.jpg","Men's yellow and multicolor Hermès silk printed tie with logo at end.","TheRealReal","_print","_silk"
56,444127831,124.19,"Hermès Vintage patterned tie",1274,"Hermes","http://bim.shopstyle.com/pim/0f/a9/0fa91d6380954b9e7ed04d2f64f80588_best.jpg","Blue silk patterned tie from Hermès Vintage featuring a pointed tip and a printed logo. Please note that vintage items are not new and therefore might have minor imperfections. This item fits true to size.","farfetch.com","_print","_silk"
69,462488535,95,"Hermès Tie",1274,"Hermes","http://bim.shopstyle.com/pim/41/15/411582cc0e1e1685e4adc05adae291c5_best.jpg","Men's orange Hermès silk printed necktie.","TheRealReal","_print","_silk"
70,461789613,75,"Hermès Tie",1274,"Hermes","http://bim.shopstyle.com/pim/3c/9f/3c9ffcd92a6004671539ac2f588bbd6d_best.jpg","Men's burgundy and multicolor Hermès silk printed tie with logo at end.","TheRealReal","_print","_silk"
71,461789626,75,"Hermès Tie",1274,"Hermes","http://bim.shopstyle.com/pim/b0/c3/b0c37d4af31d6ed3cd9970f8aff33ffe_best.jpg","Men's red and multicolor Hermès silk tie with night owl motif and logo at end.","TheRealReal","unknown","_silk"
72,462482154,95,"Hermès Tie",1274,"Hermes","http://bim.shopstyle.com/pim/5f/1b/5f1bdd93546aaf23596930e05571422a_best.jpg","Men's red and multicolor Hermès silk tie with star motif and logo at end.","TheRealReal","unknown","_silk"
75,462309754,105.01,"Hermès Vintage logo jacquard tie",1274,"Hermes","http://bim.shopstyle.com/pim/80/4d/804dec232165d6a14a8e7b8c7813b9ee_best.jpg","Brown silk logo jacquard tie from Hermès Vintage circa 1990 featuring a pointed tip and a logo tag at the rear. Please note that vintage items are not new and therefore might have minor imperfections.","farfetch.com","unknown","_silk"
88,462306922,95,"Hermès Tie",1274,"Hermes","http://bim.shopstyle.com/pim/8d/5f/8d5f4d9fce3d9656981ad6f2a03cfc40_best.jpg","Men's navy blue, red and white silk Hermès tie with buckle motif.","TheRealReal","unknown","_silk"
89,461789538,95,"Hermès Tie",1274,"Hermes","http://bim.shopstyle.com/pim/20/32/203200d3f0ba4028f93ffe1ba7ad5b5c_best.jpg","Men's red Hermès silk moon and star print tie.","TheRealReal","_print","_silk"
125,461789186,60,"Hermès Tie",1274,"Hermes","http://bim.shopstyle.com/pim/8d/d7/8dd762bd8bc44ec056fa5ac56e9d5782_best.jpg","Men's Tan silk printed tie.","TheRealReal","_print","_silk"
